gene	01_SW_sgCTRL_Norm	02_SW_sgCTRL_Norm	17_SW_sgRELB_3_Hyp	18_SW_sgRELB_3_Hyp
LOC105378593	2	1	5	6
SKI	1850	1474	1842	1998
MORN1	161	127	212	245
LOC100129534	36	30	74	87
RER1	1741	1374	1829	1899
PEX10	739	544	587	572
PLCH2	4	1	1	2
PANK4	3	0	2	2
HES5	0	0	0	0
TNFRSF14-AS1	0	0	0	0
TNFRSF14	7	2	4	8
LOC100996583	0	0	0	0
PRXL2B	0	0	0	0
MMEL1	0	0	0	0
MMEL1-AS1	0	0	0	0
TTC34	0	0	0	0
LOC105378603	0	0	0	0
LOC105378602	0	0	0	0
LOC105378601	0	0	0	0
LOC112268220	0	0	0	0
LOC107985732	0	0	0	0
LOC105378600	0	0	0	0
LOC105378598	0	0	0	0
LOC107984904	0	0	0	0
LOC105378599	0	0	0	0
ACTRT2	0	0	0	0
PRDM16-DT	9	12	16	21
PRDM16	141	103	120	123
MIR4251	0	0	0	0
LOC105378606	0	0	0	0
LOC107984909	2	2	0	0
LOC105378605	1	0	2	0
LOC105378604	372	280	152	163
ARHGEF16	582	434	233	251
MEGF6	1143	902	1575	1725
LOC105378608	1	0	3	2
MIR551A	0	0	0	0
LOC105378607	0	0	1	2
TPRG1L	1508	1194	1351	1311
WRAP73	584	490	536	562
TP73	507	360	574	592
TP73-AS3	0	0	0	0
LOC105378609	0	0	0	0
TP73-AS1	0	0	0	1
CCDC27	8	5	13	21
SMIM1	29	28	67	61
LRRC47	1885	1482	1653	1655
CEP104	1091	793	1238	1266
DFFB	315	222	212	185
LOC107984910	13	6	5	7
C1orf174	771	596	607	618
LINC01134	41	29	37	40
LINC01346	0	0	0	0
LINC01345	0	0	0	1
LINC02780	1	0	0	0
LINC01777	1	0	3	7
LOC105376674	0	0	1	1
LINC01646	0	0	0	0
LOC107985376	11	3	47	41
AJAP1	0	0	0	1
LINC02781	2	2	15	23
LOC102724429	0	0	1	0
LINC02782	0	0	0	0
LOC105376682	0	0	0	0
LOC107984911	0	0	3	1
LOC105376686	0	0	0	0
MIR4689	1	0	2	0
NPHP4	429	335	500	504
KCNAB2	387	372	946	976
CHD5	24	31	36	29
LOC105376687	0	0	0	0
RPL22	3857	3068	3099	2729
LOC107985733	6	3	10	11
RNF207-AS1	2	1	6	15
RNF207	315	235	430	408
ICMT	3943	3124	3885	3794
ICMT-DT	21	12	36	44
HES3	0	0	1	0
GPR153	1218	936	1006	1082
ACOT7	2983	2242	1969	2099
HES2	67	41	173	199
ESPN	317	218	748	827
MIR4252	0	0	0	0
TNFRSF25	128	98	129	144
PLEKHG5	703	500	673	698
NOL9	714	579	740	760
TAS1R1	1	1	2	6
LOC107984912	0	0	0	0
ZBTB48	345	210	319	308
KLHL21	2855	2081	2126	2237
LOC107984913	5	6	13	23
PHF13	938	695	1202	1237
THAP3	299	234	300	286
DNAJC11	1479	1104	1171	1233
LINC01672	0	0	0	0
CAMTA1-DT	7	1	15	13
CAMTA1	606	537	729	731
LOC105376692	0	0	0	0
CAMTA1-AS2	0	0	0	0
CAMTA1-AS1	1	1	5	2
LOC105376691	0	0	0	0
LOC105376689	26	17	41	57
VAMP3	2889	2266	3485	3317
PER3	406	301	383	413
UTS2	0	0	0	1
TNFRSF9	13	8	31	29
PARK7	4906	3637	4511	4426
ERRFI1	1103	924	2485	2621
LOC107984915	0	0	1	1
LINC01714	2	2	14	19
LOC105376695	4	3	2	5
SLC45A1	28	27	59	77
RERE	6862	5421	5979	6281
RERE-AS1	2	0	2	4
SNORD128	0	0	0	0
ENO1	65575	49507	100824	107163
MIR6728	0	0	0	2
ENO1-AS1	13	14	21	27
LOC112268261	0	1	0	0
CA6	0	0	1	0
SLC2A7	0	0	0	1
SLC2A5	0	0	1	2
GPR157	349	279	352	314
MIR34AHG	90	54	267	238
MIR34A	0	0	0	0
LNCTAM34A	5	9	25	20
H6PD	1484	1105	2186	2387
SPSB1	258	160	280	324
LINC02606	4	5	3	6
SLC25A33	334	255	249	223
TMEM201	1170	868	831	894
LOC105376712	0	0	0	0
PIK3CD	318	235	357	358
PIK3CD-AS1	0	0	0	0
PIK3CD-AS2	91	95	187	157
CLSTN1	2723	2129	4178	4387
CTNNBIP1	202	145	448	438
LOC105376717	0	0	0	0
LZIC	677	571	837	810
NMNAT1	261	217	291	341
TMEM274P	0	0	1	0
MIR5697	0	0	0	0
RBP7	107	84	140	151
UBE4B	2439	1921	2520	2652
KIF1B	2039	1674	2935	2734
LOC105376725	1	0	0	1
PGD	6468	4944	4961	5045
CENPS-CORT	0	2	1	0
CENPS	61	29	45	41
CORT	4	1	3	1
DFFA	2457	1917	1772	1916
PEX14	525	385	542	568
CASZ1	994	767	855	938
LOC105376733	0	0	0	0
LOC105376735	42	35	24	26
C1orf127	5	6	7	4
TARDBP	6959	5688	5943	5760
MASP2	19	23	27	31
SRM	2853	2134	1252	1477
EXOSC10	2570	2007	1920	1959
EXOSC10-AS1	6	12	7	8
MTOR	2919	2324	2937	2887
MTOR-AS1	0	0	0	1
ANGPTL7	0	0	0	0
UBIAD1	712	574	475	507
LOC105376737	0	0	0	0
LOC105376739	0	0	0	0
LOC105376740	0	0	0	0
DISP3	7	7	19	30
LOC112268221	0	0	0	0
LINC01647	5	4	4	8
FBXO2	680	502	1392	1517
FBXO44	532	388	827	880
FBXO6	46	28	58	62
MAD2L2	1516	1104	1241	1273
DRAXIN	259	192	111	126
AGTRAP	682	517	619	579
C1orf167	0	0	7	4
C1orf167-AS1	0	0	1	0
MTHFR	308	225	532	520
CLCN6	782	580	797	906
NPPA-AS1	23	16	46	24
NPPA	12	9	23	18
NPPB	2	2	16	21
RNU5E-1	1	1	0	0
KIAA2013	1411	1099	1493	1522
PLOD1	3556	2652	4866	5114
MFN2	6008	4484	5326	5675
MIIP	847	591	680	746
MIR6729	0	0	0	0
TNFRSF8	6	4	17	12
MIR7846	0	0	0	0
TNFRSF1B	6093	4491	3170	3297
MIR4632	0	0	0	0
LOC107984917	1	4	2	4
VPS13D	865	779	1465	1463
SNORA59A	2	0	1	2
LINC02766	0	0	0	0
DHRS3	901	651	605	592
MIR6730	0	0	0	0
AADACL4	0	0	0	0
AADACL3	0	0	1	2
CFAP107	0	0	1	1
PRAMEF12	0	0	0	0
PRAMEF1	0	0	3	0
LINC01784	0	0	0	0
PRAMEF11	0	0	0	0
HNRNPCL1	0	0	0	0
PRAMEF2	0	0	0	0
PRAMEF4	0	0	0	0
PRAMEF10	0	0	0	0
PRAMEF7	0	0	0	0
PRAMEF6	0	0	0	0
PRAMEF27	0	0	0	0
HNRNPCL3	0	0	0	0
PRAMEF25	0	0	0	0
PRAMEF34P	0	0	0	0
HNRNPCL2	0	0	0	0
PRAMEF36P	0	0	0	0
PRAMEF26	0	0	0	0
HNRNPCL4	0	0	0	0
PRAMEF9	0	0	0	0
PRAMEF13	0	0	0	0
PRAMEF18	0	0	0	0
PRAMEF5	0	0	0	0
PRAMEF8	0	0	0	0
PRAMEF33	0	0	0	0
PRAMEF15	0	0	0	0
PRAMEF14	0	0	0	0
PRAMEF19	0	0	0	0
PRAMEF17	0	0	0	0
PRAMEF20	0	0	0	0
LRRC38	0	0	0	0
LOC102724856	0	0	2	0
LOC107984918	0	0	0	0
PDPN	0	0	0	0
LOC107984919	0	0	0	0
LOC105378612	0	0	0	0
LOC105376756	0	0	0	0
PRDM2	964	787	1253	1276
KAZN	372	302	318	361
LOC107985467	0	0	0	0
LOC107985468	0	0	0	0
KAZN-AS1	0	0	0	0
LOC105376759	0	0	1	0
LOC107985469	0	0	0	1
TMEM51-AS1	13	9	12	9
TMEM51	688	633	472	481
TMEM51-AS2	0	0	5	2
FHAD1	60	47	78	81
FHAD1-AS1	42	34	44	52
EFHD2-AS1	9	11	9	9
EFHD2	5167	3927	3113	3489
CTRC	2	0	4	5
CELA2A	0	1	0	0
LOC105376767	1	1	0	1
CELA2B	1	0	5	4
CASP9	348	292	413	416
DNAJC16	448	356	646	560
SCARNA21B	0	0	0	0
AGMAT	306	228	112	104
DDI2	1076	859	837	778
RSC1A1	0	0	0	0
PLEKHM2	1991	1480	2664	2816
SLC25A34	12	7	23	20
SLC25A34-AS1	0	0	1	3
TMEM82	0	0	1	1
FBLIM1	196	150	243	301
UQCRHL	101	85	83	83
SPEN-AS1	125	91	184	189
SPEN	1309	1027	1446	1616
ZBTB17	692	552	709	681
SRARP	0	0	1	0
HSPB7	1	0	4	3
CLCNKA	1	5	4	10
CLCNKB	1	2	0	5
FAM131C	25	13	23	31
EPHA2	4634	3551	6450	7228
EPHA2-AS1	74	64	123	125
ARHGEF19	194	156	213	267
ANO7L1	4	6	9	16
CPLANE2	21	29	78	82
FBXO42	616	503	1118	1092
SZRD1	1502	1104	1324	1335
SPATA21	0	1	2	4
NECAP2	1064	792	1329	1416
LINC01772	6	3	14	9
CROCCP3	42	37	125	100
RNU1-1	0	0	0	0
TRN-GTT5-1	0	0	0	0
LINC01783	0	0	0	0
TRE-TTC4-1	0	0	0	0
TRG-CCC1-1	0	0	0	0
NBPF1	140	108	244	231
LOC105376794	288	259	433	434
CROCCP2	139	134	171	160
MST1P2	17	10	38	41
LOC107985736	0	0	0	1
RNU1-3	0	0	0	0
TRG-CCC4-1	0	0	0	0
ESPNP	15	15	60	78
TRG-CCC5-1	0	0	0	0
RNU1-4	0	0	0	0
MST1L	2	1	2	3
MIR3675	0	0	0	0
TRG-CCC1-2	0	0	0	0
LOC112267871	0	1	0	0
TRE-TTC3-1	0	0	0	0
TRN-GTT13-1	0	0	0	0
LOC105376805	21	13	5	10
TRN-GTT4-1	0	0	0	0
RNU1-2	0	0	0	0
CROCC	517	394	500	480
MFAP2	110	101	165	195
LOC105376806	5	7	11	12
ATP13A2	2593	1777	1448	1601
SDHB	2524	1989	1823	1749
PADI2	11	10	108	90
LOC105376808	0	0	0	0
LINC02783	0	0	0	0
PADI1	8	5	36	36
PADI3	1	2	9	2
MIR3972	0	0	0	0
PADI4	0	0	0	0
PADI6	0	0	0	0
RCC2	0	0	0	0
RCC2-AS1	0	0	0	0
ARHGEF10L	190	163	410	382
LINC02810	0	0	1	0
ACTL8	6	5	0	2
LOC105376809	0	0	0	0
LOC105376812	0	0	0	0
LINC01654	0	0	0	0
IGSF21	111	87	93	92
IGSF21-AS1	0	0	0	0
KLHDC7A	376	272	851	946
PAX7	0	1	0	2
TAS1R2	0	0	0	0
ALDH4A1	1502	1086	1075	1081
MIR4695	0	0	0	0
MIR1290	0	0	1	0
IFFO2	986	762	1350	1471
LOC105376815	0	0	1	2
UBR4	2885	2485	4018	4369
EMC1-AS1	3	3	2	1
EMC1	1409	1204	1780	1904
MRTO4	2762	2187	1503	1565
AKR7L	17	6	17	14
AKR7A3	20	8	13	16
LOC100506730	69	68	72	65
AKR7A2	1351	1001	1402	1462
SLC66A1	802	600	807	876
CAPZB	3228	2519	3400	3394
LOC105376819	0	0	0	0
LOC105376818	0	0	0	0
LOC105376817	0	0	0	0
MICOS10-DT	0	0	1	0
MICOS10-NBL1	0	0	0	0
MICOS10	1407	1114	1089	1049
RPS14P3	20	16	10	16
NBL1	2	2	5	5
HTR6	19	16	15	11
TMCO4	585	416	461	454
RNF186	0	0	0	0
LOC105376823	1	0	0	1
OTUD3	450	353	682	655
PLA2G2E	0	0	2	6
PLA2G2A	0	0	0	1
PLA2G5	0	2	17	12
PLA2G2D	1	0	0	0
PLA2G2F	0	0	0	0
LOC117779438	0	0	0	0
PLA2G2C	92	99	70	75
UBXN10	2236	1777	1277	1274
LOC105376825	53	46	33	40
LOC105376826	0	1	0	0
LINC01757	0	0	0	0
LOC105376828	0	0	0	0
VWA5B1	0	0	0	1
LINC01141	0	0	0	0
CAMK2N1	375	330	294	321
MUL1	820	575	727	782
FAM43B	78	48	107	105
CDA	405	295	839	962
PINK1	445	331	815	911
MIR6084	0	0	0	0
PINK1-AS	63	50	120	113
DDOST	4701	3588	5232	5439
KIF17	98	80	68	65
SH2D5	644	485	203	205
HP1BP3	5152	4238	7575	7165
EIF4G3	3613	2997	3448	3580
LOC105376830	0	0	0	0
LOC105376829	0	0	0	0
MIR1256	0	0	0	0
ECE1	3215	2501	3748	4160
ECE1-AS1	4	2	9	4
LOC105376832	0	0	0	0
NBPF3	205	169	407	408
ALPL	7	9	61	66
LINC02596	0	0	0	0
RAP1GAP	128	130	247	268
USP48	2058	1648	1809	1682
LDLRAD2	2	3	5	3
HSPG2	1500	1142	2423	2676
CELA3B	0	1	0	0
CELA3A	0	0	0	1
LINC01635	6	2	8	5
LINC00339	135	145	258	292
CDC42-AS1	1	1	1	0
CDC42	2738	2156	3504	3268
WNT4	12	9	11	18
LOC105376845	9	2	8	13
LOC105376850	12	17	45	45
LOC107985377	0	0	0	0
MIR4418	0	0	0	0
LOC105376856	0	0	0	1
ZBTB40	1454	1176	1471	1486
EPHA8	8	1	4	4
MIR6127	0	0	0	0
C1QA	0	0	0	0
C1QC	0	0	0	0
C1QB	0	0	0	0
EPHB2	977	764	1266	1317
MIR4684	0	0	0	0
MIR4253	0	0	0	0
LACTBL1	0	0	0	0
TEX46	0	0	2	1
KDM1A	3173	2475	3248	3171
MIR3115	0	0	0	0
LUZP1	1518	1316	2080	2290
HTR1D	6	1	11	5
LINC01355	0	0	0	0
HNRNPR	22	18	26	21
ZNF436	0	0	0	0
ZNF436-AS1	0	0	0	0
TCEA3	4	1	1	2
ASAP3	0	0	1	0
E2F2	1	1	1	1
LOC101928163	0	0	0	0
LOC105376859	0	0	0	0
ID3	0	0	0	0
LOC107984928	0	0	0	0
MDS2	0	0	0	0
RPL11	15118	11616	11939	12134
ELOA	2177	1692	1779	1780
ELOA-AS1	3	6	13	14
PITHD1	1010	752	1076	1045
LOC105376860	5	2	2	9
LYPLA2	1586	1240	1119	1208
GALE	2004	1650	2494	2589
HMGCL	649	537	849	873
LOC105376861	0	0	2	3
FUCA1	2382	1854	3960	3803
CNR2	3	1	1	2
LOC107984929	0	0	0	0
MIR378F	0	0	0	0
PNRC2	3054	2365	1603	1571
SRSF10	7255	5749	5197	4888
LOC105378615	0	0	0	0
LOC105376863	208	156	61	65
LOC107984931	8	1	2	2
MYOM3	116	105	298	313
MYOM3-AS1	2	0	0	0
LOC105376864	0	0	1	1
IL22RA1	56	55	100	101
IFNLR1	200	154	246	281
LINC02800	0	0	0	0
GRHL3-AS1	0	0	0	2
GRHL3	3	1	5	6
STPG1	83	63	83	81
NIPAL3	679	545	970	997
RCAN3AS	1	2	0	2
RCAN3	809	681	1041	981
NCMAP-DT	1	0	2	3
NCMAP	32	30	67	44
SRRM1	2421	1967	2808	2823
CLIC4	6415	5226	7367	6980
LOC105376876	0	0	0	0
RUNX3	1890	1439	1266	1378
MIR6731	0	0	0	0
LOC107984932	1	0	2	3
RUNX3-AS1	7	11	14	15
MIR4425	0	0	0	0
LINC02793	1	2	1	1
SYF2	1181	1033	1230	1291
RSRP1	1029	870	1824	1681
LOC105376882	0	0	0	0
RHD	0	0	0	1
TMEM50A	827	614	808	766
RHCE	5	1	20	21
MACO1	646	444	897	946
LDLRAP1	883	702	881	919
MAN1C1	60	51	63	52
SELENON	2125	1565	3151	3404
MTFR1L	327	231	616	621
LOC646471	51	35	201	171
AUNIP	495	365	334	313
PAQR7	509	383	732	774
STMN1	9428	7662	9349	9337
MIR3917	0	0	1	1
LOC105376885	0	0	0	0
PAFAH2	295	224	435	389
LOC101928216	3	3	6	7
EXTL1	3	3	15	15
SLC30A2	19	16	53	49
LOC105376910	0	0	0	1
TRIM63	3	4	6	2
PDIK1L	309	280	309	273
LOC105376886	0	0	0	1
FAM110D	8	3	4	8
C1orf232	0	0	0	0
ZNF593OS	2	3	0	2
ZNF593	150	96	109	105
CNKSR1	364	296	608	723
CATSPER4	1	0	4	0
ZPLD2P	20	11	15	28
CEP85	1264	1011	1260	1435
SH3BGRL3	3378	2560	3964	4302
UBXN11	244	204	306	256
CD52	58	35	47	53
CRYBG2	258	180	796	893
ZNF683	0	0	1	1
LIN28A	0	0	8	11
DHDDS	899	710	1277	1302
DHDDS-AS1	1	3	4	4
HMGN2	5934	4493	7160	6943
RPS6KA1	0	0	0	0
MIR1976	0	0	0	0
LOC105376888	0	0	2	0
LOC101928728	8	9	26	25
ARID1A	2148	1695	2459	2667
PIGV	285	210	469	430
ZDHHC18	1069	766	720	861
SFN	4474	3223	1535	1705
GPN2	1297	975	1224	1290
GPATCH3	335	246	331	378
NUDC	4226	3120	2563	2678
NR0B2	3	0	3	4
KDF1	85	84	76	93
TRNP1	383	267	395	385
TENT5B	253	222	460	482
LOC101928391	1	1	0	2
SLC9A1	712	566	918	1021
LOC102723760	0	0	0	0
WDTC1-DT	0	0	0	0
WDTC1	2784	2144	3012	3141
TMEM222	862	630	831	884
ACTG1P20	41	28	46	43
SYTL1	444	358	644	623
MAP3K6	687	520	639	602
FCN3	1	1	2	4
CD164L2	6	4	12	6
GPR3	252	181	171	174
WASF2	3570	2820	3470	3604
LOC105376892	0	3	5	11
AHDC1	669	551	1113	1152
FGR	14	6	1	5
LINC02574	0	1	0	0
IFI6	352	241	1149	1206
FAM76A	279	219	357	373
STX12	638	529	828	808
PPP1R8	1665	1222	1254	1238
SCARNA1	0	0	0	0
THEMIS2	157	133	122	138
RPA2	2081	1651	1929	1943
SMPDL3B	85	77	231	269
XKR8	209	157	202	257
EYA3	945	798	783	791
PTAFR	27	20	44	39
DNAJC8	2549	2086	2453	2488
ATP5IF1	0	0	0	0
SESN2	0	0	0	0
MED18	0	0	0	0
PHACTR4	1330	1116	1565	1667
SNHG3	1460	1225	683	666
RCC1	4124	3116	2269	2488
SNORA73A	20	14	7	11
SNORA73B	13	11	8	7
TRNAU1AP	274	229	401	427
SNHG12	309	244	219	238
SNORD99	6	3	17	8
SNORA61	0	0	0	0
SNORA44	7	3	0	2
SNORA16A	17	8	14	12
RAB42	588	420	325	341
TAF12	371	309	413	423
TAF12-DT	3	0	4	5
RNU11	0	0	0	0
GMEB1	708	588	427	414
YTHDF2	2801	2201	2311	2203
OPRD1	1	1	5	8
EPB41	1353	1125	1058	1073
TMEM200B	37	33	35	43
SRSF4	2504	1933	1911	2098
MECR	366	325	487	480
PTPRU	841	589	2580	2878
LINC01756	0	0	0	0
LOC107984933	0	0	0	0
LOC107984934	0	0	0	0
LINC01648	0	0	0	0
LOC105378617	0	0	0	0
LOC105378618	0	0	0	0
MATN1	22	15	22	25
MATN1-AS1	55	47	52	47
LAPTM5	160	109	102	113
MIR4420	0	0	0	0
LOC105378620	9	6	5	5
LOC105378621	0	0	0	1
LINC01778	5	4	10	4
LOC400748	0	0	0	0
SDC3	4480	3378	3016	3276
PUM1	2862	2291	3441	3619
SNORD103A	0	0	0	0
SNORD103B	0	0	0	0
SNORD103C	0	1	0	1
LOC107984935	0	3	3	1
NKAIN1	55	53	40	48
SNRNP40	1774	1349	1176	1175
ZCCHC17	985	775	939	968
FABP3	1597	1219	863	874
LOC105378623	3	1	2	4
LOC107985470	0	0	2	1
SERINC2	9567	7380	6007	6635
LOC105378625	1	1	0	0
LOC105379772	4	1	1	1
LDC1P	2	2	0	1
LINC01226	1	2	2	0
LOC105378626	261	229	361	441
TINAGL1	4375	3292	4875	5112
HCRTR1	5	1	1	8
PEF1	1569	1273	1287	1386
PEF1-AS1	5	5	8	7
LOC105378628	5	2	3	5
COL16A1	851	653	1806	1763
LOC101929444	17	7	34	45
ADGRB2	261	205	522	626
MIR4254	0	2	1	1
SPOCD1	7	2	13	8
PTP4A2	5390	4371	5178	5000
KHDRBS1	6826	5533	6509	6081
TMEM39B	697	524	641	620
MIR5585	0	0	1	0
KPNA6	2264	1837	2092	2180
TXLNA	3497	2843	3446	3576
CCDC28B	72	56	89	114
TMEM234	94	75	151	158
IQCC	202	165	277	282
DCDC2B	3	1	8	5
EIF3I	5484	4193	4873	5077
MTMR9LP	53	33	92	89
FAM167B	7	5	9	16
LCK	174	142	201	249
HDAC1	4394	3427	3876	3982
MARCKSL1	1398	1062	2717	2898
LOC105378629	3	2	5	2
TSSK3	57	46	96	115
FAM229A	26	16	34	39
BSDC1	1476	1158	2406	2361
ZBTB8B	11	4	33	33
ZBTB8A	294	233	400	362
LOC102723870	7	4	10	9
ZBTB8OS	430	359	483	464
RBBP4	4111	3179	3906	3786
SYNC	8	7	56	52
KIAA1522	1806	1409	3424	3605
YARS1	4647	3599	2399	2347
S100PBP	566	462	781	760
FNDC5	8	3	11	16
LOC105378631	0	0	1	1
HPCA	3	3	24	18
TMEM54	283	239	335	392
LOC105378632	0	0	0	0
RNF19B	492	367	542	552
AK2	3874	2971	2505	2597
LOC105378635	0	0	0	1
AZIN2	32	33	93	103
LOC112268224	0	0	2	3
TRIM62	228	161	460	488
ZNF362	280	193	665	668
A3GALT2	0	1	1	1
PHC2	6565	5054	3764	4007
MIR3605	2	0	0	1
PHC2-AS1	3	0	0	1
ZSCAN20	190	149	251	269
CSMD2	31	17	20	22
LOC105378638	0	0	0	0
HMGB4	0	0	0	0
CSMD2-AS1	1	0	0	0
C1orf94	7	5	1	0
LOC105378639	0	0	0	0
LOC105378640	0	0	1	0
LOC105378641	0	0	0	0
MIR552	0	0	0	0
LOC105378642	0	0	1	1
GJB5	2	1	9	3
GJB4	22	19	132	129
GJB3	847	722	821	893
GJA4	0	0	2	0
SMIM12	890	757	800	836
DLGAP3	5	9	25	28
GPR199P	16	10	17	22
TMEM35B	327	257	324	300
ZMYM6	385	308	535	552
ZMYM1	614	564	681	645
LOC105378644	0	0	0	0
SFPQ	13270	10660	10950	10676
ZMYM4	1336	1062	1713	1767
ZMYM4-AS1	0	0	0	0
KIAA0319L	1249	938	1846	2014
NCDN	807	614	804	810
TFAP2E	10	5	19	10
TFAP2E-AS1	0	2	1	1
PSMB2	3841	3142	4167	4129
LOC105378646	0	0	0	0
C1orf216	1032	829	1133	1146
CLSPN	1566	1334	1425	1404
AGO4	345	211	745	718
AGO1	1171	1003	1719	1791
AGO3	572	463	575	617
LOC105378647	0	0	0	0
TEKT2	1	1	2	1
ADPRS	788	618	1123	1299
COL8A2	39	25	469	497
TRAPPC3	1184	932	1326	1262
MAP7D1	2261	1795	2914	3007
THRAP3	4475	3492	4463	4535
SH3D21	191	145	834	786
EVA1B	157	109	313	318
STK40	1962	1446	1934	2116
LSM10	533	367	543	555
OSCP1	46	35	91	81
SNORA63C	0	0	0	0
LOC107984940	0	0	0	0
MRPS15	1855	1582	1428	1447
CSF3R	0	0	0	0
LOC107984941	0	0	0	0
LOC105378648	0	0	0	0
GRIK3	0	0	0	0
MIR4255	0	0	0	0
LOC107984942	0	0	0	0
ZC3H12A-DT	27	14	43	27
ZC3H12A	265	201	272	301
MIR6732	3	0	2	3
MEAF6	1082	816	971	954
MIR5581	2	1	6	3
LOC105378649	1	2	1	1
SNIP1	461	422	646	693
DNALI1	2	1	1	1
GNL2	1845	1592	1698	1712
RSPO1	1	0	2	4
C1orf109	954	766	956	895
CDCA8	2772	2188	2563	2643
EPHA10	250	199	251	261
LOC105378650	0	0	0	0
MANEAL	388	344	502	563
YRDC	654	493	411	403
C1orf122	650	520	781	759
MTF1	734	599	865	889
INPP5B	419	329	647	541
LOC105378651	0	0	0	0
SF3A3	5713	4373	3540	3466
FHL3	858	630	695	665
UTP11	1880	1443	1217	1108
POU3F1	10	6	68	56
MIR3659HG	4	7	16	9
MIR3659	0	0	0	0
LINC02786	0	0	1	0
LOC105378654	0	0	1	1
LINC01343	0	0	0	0
LOC105378657	0	0	0	1
LOC107984943	0	0	0	0
LINC01685	0	0	0	0
LOC105378658	0	0	1	0
LOC105378660	0	0	2	4
RRAGC	1111	861	1871	1764
GJA9-MYCBP	0	0	2	3
MYCBP	1	0	2	1
LOC105378663	0	1	0	0
GJA9	0	0	0	0
RHBDL2	1	2	5	4
LOC105378662	6	4	7	9
AKIRIN1	1730	1390	1743	1683
NDUFS5	1403	1116	1162	1220
MACF1	6587	5737	10853	11083
BMP8A	69	46	71	84
OXCT2P1	4	7	17	18
PPIEL	17	11	18	23
PABPC4	5536	4335	3478	3561
PABPC4-AS1	6	8	8	3
SNORA55	7	6	8	7
HEYL	155	122	92	124
NT5C1A	7	8	5	12
HPCAL4	70	56	38	50
PPIE	1030	833	1067	1033
BMP8B	334	257	285	270
OXCT2	15	10	10	9
